#
# This list is mostly take from the 802.3 standard
# Empty lines and lines that start with the '#' character are ignored. 
# Columns are delimited by white space characters, so, spaces and tabs.
#
# White space is compressed so it does not matter if there is a single or multiple spaces. 
#
# The first column contains a hex value or hex range with a minus sign (-) between
# two hex values. No spaces are allowed here. 
#
# The second column contains a 0 or a 1. A value of 0 means ignore the line. A value of 1 means include the line. 
#
# The rest of the text is a comment and it is simply ignored. 
#
#Hex	Valid	Comment
0000-05DC	1	IEEE802.3 Length Field (0.:1500.)
0101-01FF	0	Experimental
0200		0	Xerox PUP (conflicts with 802.3 Length Field range) (see 0A00)
0201		0	Xerox PUP Address Translation (conflicts ...) (see 0A01)
0400		0	Nixdorf (conflicts with 802.3 Length Field)
0600		0	Xerox NS IDP
0601		0	XNS Address Translation (3Mb only)
0660		0	DLOG
0661		0	DLOG
0800		1	DOD Internet Protocol (IPv4) (ETHERTYPE_IP in libpcap)
0801		0	X.75 Internet
0802		0	NBS Internet
0803		0	ECMA Internet
0804		0	CHAOSnet
0805		0	X.25 Level 3
0806		1	Address Resolution Protocol (ARP) (for IP and for CHAOS) (ETHERTYPE_ARP in libpcap)
0807		0	XNS Compatibility
0808		0	Frame Relay ARP
081C		0	Symbolics Private
0888-088A	0	Xyplex
0900		0	Ungermann-Bass network debugger
0A00		0	Xerox IEEE802.3 PUP
0A01		0	Xerox IEEE802.3 PUP Address Translation
0BAD		0	Banyan Systems
0BAE		0	VINES Loopback
0BAF		0	Banyon VINES Echo
1000		0	Berkeley Trailer negotiation
1001-100F	0	Berkeley Trailer encapsulation for IP
1234		0	DCA - Multicast
1600		0	VALID system protocol
1989		0	Artificial Horizons ("Aviator" dogfight simulator [on Sun])
1995		0	Datapoint Corporation (RCL lan protocol)
22F3		0	Trill
22F4		0	L2-IS-IS
3C00		0	3Com NBP virtual circuit datagram (like XNS SPP) not registered
3C01		0	3Com NBP System control datagram not registered
3C02		0	3Com NBP Connect request (virtual cct) not registered
3C03		0	3Com NBP Connect repsonse not registered
3C04		0	3Com NBP Connect complete not registered
3C05		0	3Com NBP Close request (virtual cct) not registered
3C06		0	3Com NBP Close response not registered
3C07		0	3Com NBP Datagram (like XNS IDP) not registered
3C08		0	3Com NBP Datagram broadcast not registered
3C09		0	3Com NBP Claim NetBIOS name not registered
3C0A		0	3Com NBP Delete Netbios name not registered
3C0B		0	3Com NBP Remote adaptor status request not registered
3C0C		0	3Com NBP Remote adaptor response not registered
3C0D		0	3Com NBP Reset not registered
4242		0	PCS Basic Block Protocol
424C		0	Information Modes Little Big LAN diagnostic
4321		0	THD - Diddle
4C42		0	Information Modes Little Big LAN
5208		0	BBN Simnet Private
6000		0	DEC unassigned, experimental
